,Beds,Full Baths,Half Baths,Lot Size,Name,Price,Sq Feet
0,None,None,None,,"0 GatewayRock Springs, WY 82901","$725,000",None
1,4,4,None,0.21 Acres,"1003 Winchester Blvd.Rock Springs, WY 82901","$452,900",None
2,5,3,None,,"600 TalladegaRock Springs, WY 82901","$396,900","3,154"
3,4,3,1,"Under 1/2 Acre, ","3239 Spearhead WayRock Springs, WY 82901","$389,900","3,076"
4,3,3,None,"Under 1/2 Acre, ","522 Emerald StreetRock Springs, WY 82901","$254,000","1,172"
5,4,2,None,0.27 Acres,"1302 Veteran's DriveRock Springs, WY 82901","$252,900","1,932"
6,4,3,None,"Under 1/2 Acre, ","1021 Cypress CirRock Springs, WY 82901","$210,000","1,676"
7,3,2,None,"Under 1/2 Acre, ","913 Madison DrRock Springs, WY 82901","$209,000","1,344"
8,3,2,None,"Under 1/2 Acre, ","1344 Teton StreetRock Springs, WY 82901","$199,900","1,920"
9,3,2,None,2.02 Acres,"4 Minnies LaneRock Springs, WY 82901","$196,900","1,664"
